Time,Pload,CGbuy,CGsell,Rdg1,Rdg2,PGbuy,PGsell,statoc,Bchg,Bdischg,ubat,Pdg1,Pdg2
1,169,90,70,0,0,236.368,-0,0.9,-147.368,0,1,80,0
2,175,90,70,0,0,95,-0,0.9,-0,0,1,80,0
3,179,90,70,0,0,99,-0,0.9,-0,0,1,80,0
4,171,90,70,0,0,91,-0,0.9,-0,0,1,80,0
5,181,90,70,0,0,101,-0,0.9,-0,0,1,80,0
6,172,90,70,0,0,92,-0,0.9,-0,0,1,80,0
7,270,110,90,0,0,100,-0,0.9,-0,0,1,80,90
8,264,110,90,10,10,74,-0,0.9,-0,0,1,80,90
9,273,110,90,15,15,73,-0,0.9,-0,0,1,80,90
10,281,110,90,20,20,50.2425,-0,0.79075,-0,20.7575,-0,80,90
11,193,110,90,23,23,0,-0,0.9,-23,0,1,80,90
12,158,125,105,28,28,0,-68,0.9,-0,0,1,80,90
13,161,125,105,33,33,0,-75,0.9,-0,0,1,80,90
14,162,125,105,35,35,0,-78,0.9,-0,0,1,80,90
15,250,125,105,34,34,10,-0,0.889474,-0,1.99999,-0,80,90
16,260,125,105,31,31,0,-0,0.742105,-0,28,-0,80,90
17,267,125,105,28,28,0,-0,0.526316,-0,41,-0,80,90
18,271,125,105,10,10,0,-0,0.1,-0,81,-0,80,90
19,284,110,90,0,0,114,-0,0.1,-0,0,1,80,90
20,167,110,90,0,0,0,-3,0.1,-0,0,1,80,90
21,128,110,90,0,0,0,-42,0.1,-0,0,1,80,90
22,134,110,90,0,0,0,-36,0.1,-0,0,1,80,90
23,144,110,90,0,0,0,-26,0.1,-0,0,1,80,90
24,150,110,90,0,0,0,-20,0.1,-0,0,1,80,90
