Time,Pload,Hload,Cload,CGbuy,CGsell,CHbuy,CHsell,Rdg1,PGbuy,PGsell,statoc,Bchg,Bdischg,Pdg1,Pdg2,Pchp1,Pchp2,Hhob,Hchp1,Hchp2,HGbuy,HGsell,HSSsoc,Hchg,Hdischg,Hac,Pec,Cac,Cec,Pevchg1,Pevchg2,Pevchg3,Pevchg4,Pevchg5,Pevdischg1,Pevdischg2,Pevdischg3,Pevdischg4,Pevdischg5,evsoc1,evsoc2,evsoc3,evsoc4,evsoc5
1,169,130,100,138,128,77,75,0,0.721627,0,0.777237,91.1427,0,100,0,60,100,0,72,80,95,0,0.5,0,0,117,0.578944,99.45,0.549997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,175,125,100,139,129,77,75,0,0.578944,0,0.777237,0,0,15,0,60,100,0,72,80,90,0,0.5,0,0,117,0.578944,99.45,0.549997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,179,120,80,143,133,77,75,0,0,0,0.9,19.3836,0,47,0,60,100,0,72,80,62,0,0.5,0,0,94,0.10526,79.9,0.0999966,8.51111,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
4,171,120,100,149,139,77,75,0,0,88.4211,0.9,0,0,100,0,60,100,0,72,80,85,0,0.5,0,0,117,0.578944,99.45,0.549997,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
5,181,125,120,150,140,77,75,0,0,143.009,0.9,0,0,100,80,60,100,0,72,80,114,0,0.5,0,0,141,0.157891,119.85,0.149997,0,15.8333,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
6,190,135,135,152,142,77,75,0,0,149.263,0.9,0,0,100,80,60,100,0,72,80,141,0,0.5,0,0,158,0.736838,134.3,0.699997,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
7,270,150,150,155,145,77,75,0,0,69.579,0.9,0,0,100,80,60,100,0,72,80,174,0,0.5,0,0,176,0.421049,149.6,0.399997,0,0,-4.44089e-16,0,0,0,0,0,0,0,0.5,0.5,0.1,0,0
8,264,160,135,158,148,77,75,10,0,85.2632,0.9,0,0,100,80,60,100,0,72,80,166,0,0.5,0,0,158,0.736838,134.3,0.699997,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0
9,273,175,125,160,150,83,80,15,0,81.9474,0.9,0,0,100,80,60,100,80,72,80,90,0,0.5,0,0,147,0.052628,124.95,0.0499966,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
10,281,190,130,154,144,83,80,20,0,75.3935,0.9,0,0,100,80,60,100,80,72,80,110,0,0.5,0,0,152,0.842102,129.2,0.799997,0,0,12.8444,0,0,0,0,0,10.08,0,0,0,0.5,0.5,0.4
11,300,195,140,153,143,83,80,23,0,62.3684,0.9,0,0,100,80,60,100,80,72,80,127,0,0.5,0,0,164,0.631575,139.4,0.599997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.4
